epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.142,2.47076,4.82123,0.04082,0.00838,0.11735,0.00237,0.00052,2.68734,5.30296,0.06427,0.000199614,0.000199614,0.0802382
2,324.946,1.95713,4.02202,0.02961,0.07797,0.04594,0.00987,0.00324,2.29962,4.7545,0.05345,0.000395658,0.000395658,0.0604343
3,471.271,1.82314,3.6283,0.02665,0.2885,0.09835,0.06169,0.02722,1.85811,3.62849,0.03908,0.000587742,0.000587742,0.0406264
4,615.97,1.74791,3.35518,0.0254,0.32586,0.16309,0.11175,0.0517,1.79274,3.18158,0.03768,0.000775865,0.000775865,0.0208145
5,759.059,1.70067,3.1776,0.02448,0.19167,0.18246,0.1095,0.05212,1.79583,3.17361,0.03754,0.000960029,0.000960029,0.000998639
6,903.348,1.64983,3.01417,0.02355,0.24248,0.22406,0.16768,0.08645,1.69181,2.9132,0.03451,0.0009505,0.0009505,0.0009505
7,1047.35,1.59997,2.87836,0.02271,0.33593,0.25533,0.20253,0.10677,1.64942,2.77488,0.03341,0.0009406,0.0009406,0.0009406
8,1190.56,1.56955,2.76419,0.02195,0.40612,0.30052,0.24308,0.12978,1.62553,2.65709,0.03267,0.0009307,0.0009307,0.0009307
9,1333.33,1.54241,2.68504,0.02164,0.36435,0.28906,0.253,0.14165,1.58797,2.51395,0.03192,0.0009208,0.0009208,0.0009208
10,1477.42,1.5183,2.60568,0.02108,0.39964,0.34523,0.31703,0.17684,1.56289,2.28244,0.03111,0.0009109,0.0009109,0.0009109
11,1621.86,1.4996,2.52852,0.02083,0.41203,0.35288,0.32823,0.18336,1.5185,2.24088,0.02968,0.000901,0.000901,0.000901
12,1764.59,1.48382,2.48181,0.0203,0.4482,0.37281,0.36301,0.20958,1.49339,2.11893,0.02894,0.0008911,0.0008911,0.0008911
13,1908.82,1.46487,2.43415,0.01996,0.44173,0.39717,0.38132,0.22178,1.4802,2.09349,0.02857,0.0008812,0.0008812,0.0008812
14,2051.39,1.45596,2.3854,0.01987,0.48268,0.38867,0.39289,0.23043,1.47336,2.04552,0.02843,0.0008713,0.0008713,0.0008713
15,2195.58,1.43198,2.32647,0.01953,0.49703,0.42505,0.42597,0.25428,1.43083,1.96884,0.02754,0.0008614,0.0008614,0.0008614
16,2339.6,1.42885,2.30425,0.0195,0.49954,0.43529,0.44216,0.26755,1.42128,1.91437,0.0273,0.0008515,0.0008515,0.0008515
17,2482.23,1.42279,2.26082,0.01923,0.53849,0.43512,0.45005,0.27601,1.39883,1.87623,0.02647,0.0008416,0.0008416,0.0008416
18,2624.98,1.40716,2.21782,0.01903,0.54273,0.45293,0.47262,0.29108,1.38634,1.82259,0.02622,0.0008317,0.0008317,0.0008317
19,2768.1,1.40241,2.20091,0.01878,0.53348,0.44743,0.47996,0.29631,1.38292,1.80493,0.02599,0.0008218,0.0008218,0.0008218
20,2912.21,1.38497,2.16463,0.01856,0.5628,0.47541,0.49879,0.3075,1.36337,1.74138,0.02548,0.0008119,0.0008119,0.0008119
21,3054.77,1.38345,2.12708,0.01851,0.58644,0.48927,0.51748,0.32319,1.35317,1.67373,0.02518,0.000802,0.000802,0.000802
22,3197.22,1.3726,2.08693,0.01831,0.57788,0.50206,0.52686,0.33237,1.33524,1.6714,0.02467,0.0007921,0.0007921,0.0007921
23,3341.45,1.36434,2.08616,0.01811,0.59204,0.50731,0.53957,0.33847,1.33134,1.65182,0.02459,0.0007822,0.0007822,0.0007822
24,3483.87,1.35231,2.05568,0.01802,0.60073,0.50523,0.54549,0.34813,1.31454,1.61874,0.02428,0.0007723,0.0007723,0.0007723
25,3627.77,1.3424,2.0257,0.01795,0.59876,0.51415,0.55364,0.35675,1.30272,1.58528,0.02381,0.0007624,0.0007624,0.0007624
26,3770.56,1.34119,2.01014,0.01776,0.59028,0.52111,0.55807,0.36043,1.29139,1.57002,0.02345,0.0007525,0.0007525,0.0007525
27,3913.21,1.3307,1.99408,0.01762,0.60834,0.523,0.5703,0.36836,1.28898,1.53893,0.02356,0.0007426,0.0007426,0.0007426
28,4055.81,1.33312,1.96281,0.01758,0.61634,0.5404,0.5828,0.37777,1.27828,1.51762,0.0233,0.0007327,0.0007327,0.0007327
29,4199.99,1.32014,1.94933,0.01738,0.61209,0.55158,0.59144,0.38303,1.26746,1.50415,0.02305,0.0007228,0.0007228,0.0007228
30,4342.8,1.31284,1.93867,0.01746,0.61139,0.55489,0.59435,0.39051,1.26143,1.47966,0.02285,0.0007129,0.0007129,0.0007129
31,4486.28,1.30811,1.93056,0.01719,0.64473,0.54154,0.59976,0.39502,1.25487,1.46519,0.02267,0.000703,0.000703,0.000703
32,4629.75,1.30005,1.89746,0.0171,0.64056,0.55958,0.60687,0.40056,1.2518,1.44674,0.02252,0.0006931,0.0006931,0.0006931
33,4773.19,1.29634,1.89083,0.01698,0.66744,0.55227,0.61675,0.40935,1.23808,1.43418,0.02225,0.0006832,0.0006832,0.0006832
34,4916.52,1.28791,1.87561,0.01687,0.661,0.55594,0.61771,0.41094,1.23607,1.42704,0.0222,0.0006733,0.0006733,0.0006733
35,5060.11,1.2889,1.86028,0.01699,0.65457,0.55788,0.62158,0.41487,1.2338,1.40012,0.02218,0.0006634,0.0006634,0.0006634
36,5203.07,1.28327,1.83521,0.01669,0.6664,0.56271,0.62911,0.41944,1.23056,1.38926,0.02202,0.0006535,0.0006535,0.0006535
37,5346.33,1.27768,1.83951,0.01676,0.66818,0.56899,0.63096,0.422,1.22202,1.38624,0.02182,0.0006436,0.0006436,0.0006436
38,5489.59,1.27391,1.81918,0.01659,0.66587,0.57542,0.6354,0.42597,1.21833,1.37035,0.02175,0.0006337,0.0006337,0.0006337
39,5632.91,1.26524,1.80119,0.01646,0.67167,0.57115,0.63992,0.43204,1.21327,1.36395,0.0216,0.0006238,0.0006238,0.0006238
40,5775.93,1.26062,1.78592,0.01635,0.67183,0.57491,0.64202,0.43319,1.20863,1.35545,0.0215,0.0006139,0.0006139,0.0006139
41,5919.17,1.25463,1.77369,0.01643,0.68921,0.58162,0.64907,0.43819,1.20565,1.34395,0.02143,0.000604,0.000604,0.000604
42,6062.92,1.25509,1.77012,0.01615,0.68253,0.58708,0.65007,0.44063,1.20098,1.33266,0.02126,0.0005941,0.0005941,0.0005941
43,6206.23,1.24977,1.75328,0.01627,0.68499,0.58696,0.65224,0.44249,1.1972,1.33098,0.02123,0.0005842,0.0005842,0.0005842
44,6349.53,1.2388,1.73571,0.01603,0.69458,0.58234,0.65488,0.44462,1.19528,1.31361,0.02119,0.0005743,0.0005743,0.0005743
45,6493.18,1.24052,1.73592,0.01606,0.68027,0.59702,0.65681,0.44718,1.19201,1.31359,0.02111,0.0005644,0.0005644,0.0005644
46,6636.85,1.23888,1.71259,0.016,0.68892,0.59523,0.65995,0.44986,1.19145,1.30212,0.02109,0.0005545,0.0005545,0.0005545
47,6779.92,1.2342,1.70718,0.01596,0.68554,0.60053,0.6618,0.45283,1.18758,1.29789,0.02095,0.0005446,0.0005446,0.0005446
48,6923.4,1.23162,1.70143,0.01589,0.69267,0.60059,0.6641,0.45483,1.18584,1.29629,0.02092,0.0005347,0.0005347,0.0005347
49,7066.97,1.22796,1.69206,0.01579,0.69532,0.60592,0.66709,0.45701,1.18493,1.28806,0.0209,0.0005248,0.0005248,0.0005248
50,7210.33,1.22598,1.68796,0.01587,0.70252,0.60041,0.67029,0.45968,1.18386,1.27993,0.02087,0.0005149,0.0005149,0.0005149
51,7354.2,1.22271,1.67844,0.01581,0.70001,0.60356,0.67282,0.46263,1.18212,1.27219,0.02083,0.000505,0.000505,0.000505
52,7497.59,1.21845,1.67323,0.01554,0.7005,0.61076,0.67605,0.46425,1.1806,1.26529,0.02076,0.0004951,0.0004951,0.0004951
53,7641.24,1.21409,1.65312,0.01552,0.69419,0.61436,0.67723,0.46597,1.17682,1.26523,0.02069,0.0004852,0.0004852,0.0004852
54,7784.65,1.20789,1.65027,0.01561,0.70895,0.60714,0.67868,0.4675,1.1754,1.25946,0.02065,0.0004753,0.0004753,0.0004753
55,7929.61,1.20943,1.65643,0.01542,0.70081,0.61746,0.68082,0.46969,1.17193,1.25788,0.02053,0.0004654,0.0004654,0.0004654
56,8073.56,1.2067,1.63785,0.01542,0.70693,0.61077,0.68199,0.47087,1.16953,1.25655,0.02048,0.0004555,0.0004555,0.0004555
57,8218.14,1.20016,1.6161,0.01534,0.70793,0.61715,0.68331,0.47172,1.17027,1.25006,0.0205,0.0004456,0.0004456,0.0004456
58,8362.46,1.19659,1.61601,0.01522,0.70708,0.61934,0.68334,0.47168,1.16718,1.2513,0.02041,0.0004357,0.0004357,0.0004357
59,8506.95,1.18845,1.60544,0.0152,0.71625,0.61263,0.68462,0.47279,1.16418,1.25032,0.02035,0.0004258,0.0004258,0.0004258
60,8651.53,1.1896,1.59529,0.01515,0.71736,0.6143,0.68603,0.47393,1.16312,1.24713,0.02031,0.0004159,0.0004159,0.0004159
61,8795.94,1.18423,1.58612,0.01511,0.72495,0.61047,0.68776,0.4752,1.16278,1.24421,0.02032,0.000406,0.000406,0.000406
62,8940.24,1.18557,1.5895,0.01503,0.72534,0.60994,0.68856,0.47591,1.16242,1.24059,0.02031,0.0003961,0.0003961,0.0003961
63,9084.83,1.18792,1.59022,0.01499,0.72172,0.61135,0.68853,0.47636,1.16005,1.24002,0.02025,0.0003862,0.0003862,0.0003862
64,9229.18,1.17886,1.56386,0.01499,0.71779,0.61497,0.68957,0.47719,1.15864,1.23761,0.02022,0.0003763,0.0003763,0.0003763
65,9373.14,1.17456,1.55923,0.01498,0.71761,0.61484,0.68995,0.47768,1.15833,1.23553,0.02021,0.0003664,0.0003664,0.0003664
66,9517.02,1.18208,1.55716,0.01506,0.73418,0.60613,0.69095,0.47868,1.15831,1.23217,0.02021,0.0003565,0.0003565,0.0003565
67,9661.5,1.16958,1.54708,0.01491,0.7348,0.60672,0.69205,0.47962,1.15718,1.22949,0.02018,0.0003466,0.0003466,0.0003466
68,9805.23,1.16608,1.53678,0.01477,0.73037,0.60918,0.69243,0.48046,1.15621,1.22742,0.02015,0.0003367,0.0003367,0.0003367
69,9949.24,1.16125,1.52779,0.01471,0.74132,0.60423,0.69335,0.48172,1.15557,1.22496,0.02014,0.0003268,0.0003268,0.0003268
70,10093.7,1.16057,1.53486,0.01469,0.73016,0.61397,0.69402,0.48203,1.15494,1.22303,0.02011,0.0003169,0.0003169,0.0003169
71,10237.8,1.16651,1.51692,0.01479,0.72734,0.61783,0.69513,0.48287,1.15485,1.22032,0.0201,0.000307,0.000307,0.000307
72,10382.2,1.15474,1.51227,0.01463,0.73085,0.61521,0.69562,0.48304,1.1547,1.21925,0.0201,0.0002971,0.0002971,0.0002971
73,10526.4,1.15456,1.51121,0.01446,0.73521,0.61377,0.69662,0.48398,1.15446,1.21596,0.02009,0.0002872,0.0002872,0.0002872
74,10670.8,1.15225,1.50163,0.01446,0.73522,0.61403,0.6972,0.48466,1.15326,1.21452,0.02006,0.0002773,0.0002773,0.0002773
