epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.177,2.50719,4.90118,0.04191,0.00908,0.0854,0.0026,0.00077,2.51671,5.18017,0.05675,0.000199614,0.000199614,0.0802382
2,482.9,2.15323,4.30792,0.03323,0.00903,0.08525,0.0026,0.00077,2.51652,5.1804,0.05674,0.000395658,0.000395658,0.0604343
3,774.499,2.15031,4.30957,0.03333,0.00903,0.08525,0.0026,0.00077,2.51652,5.1804,0.05674,0.000587742,0.000587742,0.0406264
4,922.055,1.98142,3.94398,0.03018,0.30983,0.04437,0.03344,0.01387,2.10532,4.25826,0.04556,0.000775865,0.000775865,0.0208145
5,1216.55,1.88572,3.67472,0.02801,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.000960029,0.000960029,0.000998639
6,1511.94,1.89051,3.67049,0.0282,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0009505,0.0009505,0.0009505
7,1806.66,1.88788,3.66722,0.02807,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0009406,0.0009406,0.0009406
8,2100.65,1.8841,3.66747,0.02809,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0009307,0.0009307,0.0009307
9,2396.79,1.88374,3.66495,0.02823,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0009208,0.0009208,0.0009208
10,2693.19,1.88974,3.6725,0.02816,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0009109,0.0009109,0.0009109
11,2989.84,1.88294,3.66697,0.028,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.000901,0.000901,0.000901
12,3286.24,1.88815,3.65889,0.02809,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0008911,0.0008911,0.0008911
13,3619.15,1.89042,3.67032,0.0282,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0008812,0.0008812,0.0008812
14,3988.79,1.88947,3.66274,0.02821,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0008713,0.0008713,0.0008713
15,4357.06,1.88941,3.66285,0.02811,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0008614,0.0008614,0.0008614
16,4727.31,1.88956,3.67576,0.02845,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0008515,0.0008515,0.0008515
17,5094.76,1.8889,3.66774,0.02823,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0008416,0.0008416,0.0008416
18,5462.52,1.88665,3.66989,0.02815,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0008317,0.0008317,0.0008317
19,5832.14,1.88554,3.66176,0.02803,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0008218,0.0008218,0.0008218
20,6202.77,1.88212,3.66728,0.02801,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0008119,0.0008119,0.0008119
21,6571.01,1.88326,3.66915,0.02803,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.000802,0.000802,0.000802
22,6938.52,1.89082,3.67017,0.02804,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0007921,0.0007921,0.0007921
23,7306.13,1.88253,3.6634,0.02807,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0007822,0.0007822,0.0007822
24,7674.02,1.88797,3.6655,0.02818,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0007723,0.0007723,0.0007723
25,8041.45,1.88372,3.6641,0.02815,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0007624,0.0007624,0.0007624
26,8408.61,1.88791,3.67345,0.0283,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0007525,0.0007525,0.0007525
27,8776.26,1.89133,3.67378,0.02811,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0007426,0.0007426,0.0007426
28,9075.09,1.88764,3.6738,0.02836,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0007327,0.0007327,0.0007327
29,9434.6,1.89034,3.6738,0.02815,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0007228,0.0007228,0.0007228
30,9802.24,1.88527,3.66912,0.02805,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0007129,0.0007129,0.0007129
31,9987.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000703,0.000703,0.000703
32,10356,1.88639,3.66559,0.02821,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0006931,0.0006931,0.0006931
33,10724.9,1.89083,3.66569,0.02804,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0006832,0.0006832,0.0006832
34,11092.8,1.88573,3.65677,0.02822,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0006733,0.0006733,0.0006733
35,11461.1,1.88344,3.67326,0.02813,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0006634,0.0006634,0.0006634
36,11829,1.88873,3.66874,0.02825,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0006535,0.0006535,0.0006535
37,12195.6,1.89262,3.66518,0.02826,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0006436,0.0006436,0.0006436
38,12564.8,1.89109,3.66349,0.02805,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0006337,0.0006337,0.0006337
39,12931.8,1.87777,3.66795,0.02817,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0006238,0.0006238,0.0006238
40,13298.9,1.88782,3.67423,0.02803,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0006139,0.0006139,0.0006139
41,13668.5,1.88771,3.66974,0.02828,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.000604,0.000604,0.000604
42,14038.6,1.88709,3.66729,0.0282,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0005941,0.0005941,0.0005941
43,14408.4,1.88349,3.66882,0.02785,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0005842,0.0005842,0.0005842
44,14777.4,1.89127,3.67216,0.02834,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0005743,0.0005743,0.0005743
45,15145.2,1.88809,3.67438,0.02831,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0005644,0.0005644,0.0005644
46,15514.2,1.88622,3.67015,0.02825,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0005545,0.0005545,0.0005545
47,15881.8,1.89407,3.67246,0.02816,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0005446,0.0005446,0.0005446
48,16252,1.88356,3.67563,0.02814,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0005347,0.0005347,0.0005347
49,16619.7,1.88526,3.66081,0.02823,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0005248,0.0005248,0.0005248
50,16988.8,1.88849,3.66559,0.02803,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0005149,0.0005149,0.0005149
51,17358.7,1.8878,3.67705,0.02805,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.000505,0.000505,0.000505
52,17729.4,1.88566,3.67045,0.02821,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0004951,0.0004951,0.0004951
53,18099.7,1.88095,3.66657,0.02829,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0004852,0.0004852,0.0004852
54,18468.8,1.8863,3.67861,0.02833,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0004753,0.0004753,0.0004753
55,18836.5,1.8827,3.66775,0.02823,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0004654,0.0004654,0.0004654
56,19204.7,1.88886,3.66462,0.02811,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0004555,0.0004555,0.0004555
57,19573.2,1.88484,3.65802,0.02817,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0004456,0.0004456,0.0004456
58,19943.1,1.88646,3.65517,0.02826,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0004357,0.0004357,0.0004357
59,20313.5,1.88583,3.66944,0.0282,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0004258,0.0004258,0.0004258
60,20681.5,1.89342,3.67267,0.02828,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.0004159,0.0004159,0.0004159
61,21052.7,1.88533,3.66017,0.02819,0.31021,0.04439,0.03335,0.01384,2.10561,4.25899,0.04556,0.000406,0.000406,0.000406
