epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.038,2.44999,4.90068,0.04014,0.00313,0.09079,0.00159,0.00037,2.44684,5.21878,0.05618,0.000199614,0.000199614,0.0802382
2,323.422,1.94786,4.02743,0.02931,0.45595,0.06126,0.02383,0.00747,2.30709,4.37038,0.05286,0.000395658,0.000395658,0.0604343
3,471.654,1.81741,3.59247,0.02658,0.24726,0.11099,0.07183,0.03037,1.91368,3.62641,0.04054,0.000587742,0.000587742,0.0406264
4,619.396,1.73987,3.32083,0.02517,0.3001,0.17456,0.11614,0.05596,1.74323,3.24979,0.03591,0.000775865,0.000775865,0.0208145
5,765.686,1.69994,3.13943,0.02433,0.31722,0.1919,0.14906,0.0738,1.72951,2.97805,0.03512,0.000960029,0.000960029,0.000998639
6,912.708,1.64756,2.97932,0.02342,0.25478,0.23215,0.15286,0.07687,1.70757,2.9801,0.03501,0.0009505,0.0009505,0.0009505
7,1058.83,1.60633,2.86187,0.02274,0.28415,0.26069,0.19693,0.10759,1.6251,2.74444,0.03244,0.0009406,0.0009406,0.0009406
8,1205,1.57303,2.75106,0.02196,0.33762,0.29477,0.24842,0.13908,1.54739,2.53619,0.03047,0.0009307,0.0009307,0.0009307
9,1350.29,1.53734,2.67333,0.02148,0.36623,0.29948,0.25469,0.14551,1.55727,2.65771,0.03047,0.0009208,0.0009208,0.0009208
10,1496.39,1.52058,2.60834,0.02105,0.39842,0.34056,0.30642,0.17143,1.53371,2.26669,0.03024,0.0009109,0.0009109,0.0009109
11,1643.1,1.49798,2.53316,0.02078,0.43337,0.34021,0.32583,0.1925,1.49442,2.21585,0.02897,0.000901,0.000901,0.000901
12,1789.57,1.48153,2.48106,0.02023,0.42837,0.36126,0.34632,0.20565,1.46313,2.14451,0.02802,0.0008911,0.0008911,0.0008911
13,1936.31,1.46158,2.42911,0.0198,0.47915,0.37906,0.37747,0.22479,1.45396,2.07482,0.02776,0.0008812,0.0008812,0.0008812
14,2082.58,1.44736,2.38083,0.01969,0.46613,0.40757,0.40268,0.24199,1.43021,1.98743,0.02705,0.0008713,0.0008713,0.0008713
15,2229.3,1.42591,2.33381,0.01936,0.49413,0.41535,0.42749,0.25983,1.41812,1.963,0.02666,0.0008614,0.0008614,0.0008614
16,2375.61,1.42001,2.30858,0.01929,0.50926,0.42173,0.43564,0.26858,1.38538,1.9256,0.02594,0.0008515,0.0008515,0.0008515
17,2522.31,1.4136,2.26685,0.01904,0.54076,0.4175,0.44663,0.27858,1.37894,1.89343,0.02594,0.0008416,0.0008416,0.0008416
18,2669.06,1.39643,2.22411,0.01873,0.55138,0.44192,0.47027,0.29579,1.35231,1.80404,0.02502,0.0008317,0.0008317,0.0008317
19,2815.21,1.39503,2.20571,0.01858,0.52659,0.44643,0.47795,0.30325,1.34121,1.797,0.02483,0.0008218,0.0008218,0.0008218
20,2960.58,1.37748,2.1595,0.01837,0.5629,0.46119,0.49471,0.31482,1.32892,1.7602,0.02465,0.0008119,0.0008119,0.0008119
21,3107.64,1.37411,2.13539,0.01828,0.55436,0.48301,0.51262,0.32801,1.32846,1.7145,0.02455,0.000802,0.000802,0.000802
22,3254.6,1.36438,2.10642,0.01815,0.57469,0.49374,0.52366,0.33653,1.30607,1.67194,0.02393,0.0007921,0.0007921,0.0007921
23,3400.78,1.35981,2.09464,0.018,0.60113,0.49603,0.53755,0.348,1.30271,1.63931,0.02385,0.0007822,0.0007822,0.0007822
24,3547.08,1.34717,2.05812,0.01786,0.58512,0.50847,0.54714,0.35432,1.28254,1.61954,0.02337,0.0007723,0.0007723,0.0007723
25,3693.13,1.33269,2.03256,0.01776,0.61989,0.50387,0.55714,0.36256,1.28652,1.58593,0.02347,0.0007624,0.0007624,0.0007624
26,3839.43,1.32638,2.02863,0.01746,0.60721,0.5183,0.56703,0.3732,1.26918,1.56001,0.02285,0.0007525,0.0007525,0.0007525
27,3986.02,1.31821,2.00379,0.01737,0.61667,0.52643,0.57085,0.37538,1.26587,1.53665,0.02288,0.0007426,0.0007426,0.0007426
28,4131.58,1.32655,1.96435,0.01743,0.63654,0.52738,0.58472,0.38709,1.26085,1.50524,0.02272,0.0007327,0.0007327,0.0007327
29,4277.93,1.31156,1.96053,0.01719,0.63986,0.54251,0.59445,0.39212,1.25588,1.50146,0.02268,0.0007228,0.0007228,0.0007228
30,4424.24,1.29718,1.95685,0.01715,0.6508,0.53676,0.59945,0.40223,1.2381,1.48769,0.02219,0.0007129,0.0007129,0.0007129
31,4570.68,1.29718,1.9318,0.01697,0.65241,0.5449,0.6048,0.40587,1.22887,1.47132,0.02204,0.000703,0.000703,0.000703
32,4716.99,1.29423,1.91666,0.01699,0.65204,0.54863,0.60686,0.40938,1.22786,1.45535,0.02193,0.0006931,0.0006931,0.0006931
33,4862.36,1.29028,1.89304,0.01686,0.66132,0.56123,0.6196,0.41879,1.21993,1.42882,0.02176,0.0006832,0.0006832,0.0006832
34,5008.31,1.28281,1.88616,0.01673,0.66638,0.55984,0.62148,0.41846,1.21642,1.42444,0.02168,0.0006733,0.0006733,0.0006733
35,5153.55,1.27713,1.86807,0.01673,0.65854,0.56912,0.628,0.42489,1.20803,1.41058,0.02149,0.0006634,0.0006634,0.0006634
36,5299.23,1.273,1.85249,0.01647,0.67862,0.56252,0.6324,0.42906,1.20678,1.40096,0.02143,0.0006535,0.0006535,0.0006535
37,5444.41,1.2647,1.84526,0.01647,0.66639,0.57806,0.63747,0.43242,1.2017,1.38217,0.02129,0.0006436,0.0006436,0.0006436
38,5589.76,1.26548,1.82621,0.01639,0.67313,0.57972,0.6426,0.4366,1.20442,1.3643,0.02134,0.0006337,0.0006337,0.0006337
39,5735.11,1.25986,1.81289,0.01628,0.68621,0.57967,0.6453,0.44003,1.19118,1.36607,0.02105,0.0006238,0.0006238,0.0006238
40,5880.65,1.2498,1.80041,0.0161,0.69782,0.57069,0.64603,0.44152,1.19181,1.3533,0.02103,0.0006139,0.0006139,0.0006139
41,6025.91,1.24063,1.79369,0.01613,0.68318,0.5845,0.64992,0.44683,1.18641,1.34201,0.02091,0.000604,0.000604,0.000604
42,6171.23,1.24613,1.78893,0.01597,0.66709,0.60045,0.6541,0.45029,1.18153,1.33644,0.02074,0.0005941,0.0005941,0.0005941
43,6316.71,1.2383,1.76285,0.01603,0.67685,0.60004,0.65642,0.45302,1.17873,1.3262,0.02066,0.0005842,0.0005842,0.0005842
44,6462.28,1.22751,1.74938,0.01579,0.69368,0.59494,0.66111,0.45624,1.17831,1.313,0.02061,0.0005743,0.0005743,0.0005743
45,6607.41,1.22961,1.75038,0.01583,0.7106,0.58985,0.66618,0.46027,1.17204,1.3054,0.02049,0.0005644,0.0005644,0.0005644
46,6752.49,1.22999,1.73031,0.01579,0.70921,0.60044,0.66915,0.46242,1.16903,1.29799,0.02041,0.0005545,0.0005545,0.0005545
47,6897.7,1.22331,1.71959,0.0157,0.71372,0.59901,0.67246,0.46593,1.16444,1.2911,0.02031,0.0005446,0.0005446,0.0005446
48,7043.09,1.21762,1.71124,0.01564,0.70559,0.60097,0.67494,0.46827,1.16062,1.2893,0.02023,0.0005347,0.0005347,0.0005347
49,7188.26,1.21892,1.70501,0.01556,0.70411,0.60013,0.67646,0.46969,1.15992,1.28385,0.02023,0.0005248,0.0005248,0.0005248
50,7333.6,1.21191,1.69971,0.01557,0.70848,0.60185,0.67841,0.47107,1.16013,1.27789,0.02025,0.0005149,0.0005149,0.0005149
51,7479.77,1.21333,1.68898,0.01557,0.70299,0.60913,0.67905,0.47076,1.15736,1.27596,0.02016,0.000505,0.000505,0.000505
52,7624.99,1.20883,1.67783,0.01534,0.70664,0.60858,0.67963,0.47223,1.15474,1.27209,0.02008,0.0004951,0.0004951,0.0004951
53,7769.5,1.20399,1.66547,0.01529,0.71062,0.60647,0.68052,0.47399,1.15383,1.26653,0.02006,0.0004852,0.0004852,0.0004852
54,7914,1.19604,1.66545,0.01538,0.7167,0.61132,0.68362,0.47648,1.1497,1.26279,0.01997,0.0004753,0.0004753,0.0004753
55,8058.02,1.19597,1.66042,0.0152,0.71449,0.61396,0.6851,0.47783,1.148,1.26073,0.01994,0.0004654,0.0004654,0.0004654
56,8202.47,1.19718,1.64267,0.01521,0.71491,0.61518,0.68633,0.47906,1.14654,1.25508,0.01994,0.0004555,0.0004555,0.0004555
57,8346.66,1.18135,1.62519,0.01502,0.70646,0.62243,0.68782,0.48101,1.146,1.24959,0.01992,0.0004456,0.0004456,0.0004456
58,8490.84,1.18546,1.62145,0.01498,0.70398,0.62771,0.68992,0.48302,1.14603,1.24472,0.01993,0.0004357,0.0004357,0.0004357
59,8634.88,1.17663,1.61103,0.01503,0.71647,0.6213,0.69173,0.48471,1.1438,1.24227,0.01987,0.0004258,0.0004258,0.0004258
60,8779.18,1.17824,1.60596,0.01494,0.71746,0.61982,0.69305,0.48557,1.14382,1.23795,0.01988,0.0004159,0.0004159,0.0004159
61,8923.37,1.17313,1.59918,0.01489,0.7177,0.61911,0.69274,0.48599,1.14277,1.23575,0.01985,0.000406,0.000406,0.000406
62,9067.39,1.17391,1.59924,0.0148,0.71758,0.62035,0.6942,0.48712,1.14209,1.23226,0.01983,0.0003961,0.0003961,0.0003961
63,9211.76,1.17729,1.59211,0.01479,0.71913,0.62427,0.69525,0.48791,1.1406,1.23188,0.01977,0.0003862,0.0003862,0.0003862
