epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.653,2.48217,4.8823,0.04104,0.75768,0.0091,0.0036,0.00092,2.30487,7.51093,0.05216,0.000199614,0.000199614,0.0802382
2,333.391,1.97015,4.03035,0.02967,0.4513,0.03142,0.01605,0.00563,2.1508,4.67934,0.04818,0.000395658,0.000395658,0.0604343
3,483.697,1.84171,3.59204,0.02688,0.23435,0.1218,0.08107,0.0357,1.84904,3.573,0.03856,0.000587742,0.000587742,0.0406264
4,629.16,1.75852,3.33971,0.02547,0.29648,0.16494,0.10837,0.05032,1.83752,3.1852,0.03848,0.000775865,0.000775865,0.0208145
5,774.227,1.70093,3.16659,0.02431,0.28108,0.19392,0.13544,0.06654,1.76935,2.98648,0.03659,0.000960029,0.000960029,0.000998639
6,920.536,1.65607,2.99771,0.02358,0.28046,0.23879,0.16793,0.08449,1.74817,2.85159,0.03632,0.0009505,0.0009505,0.0009505
7,1066.32,1.60695,2.88249,0.02276,0.29784,0.25735,0.19723,0.10597,1.64343,2.65543,0.03303,0.0009406,0.0009406,0.0009406
8,1212.31,1.57661,2.77349,0.022,0.35133,0.28501,0.22937,0.12405,1.65107,2.54642,0.03316,0.0009307,0.0009307,0.0009307
9,1357.34,1.55309,2.67788,0.02175,0.40915,0.30235,0.27518,0.15595,1.56557,2.39973,0.03086,0.0009208,0.0009208,0.0009208
10,1503.14,1.53292,2.61669,0.0212,0.40988,0.33977,0.30409,0.17109,1.55096,2.28871,0.03066,0.0009109,0.0009109,0.0009109
11,1649.79,1.50645,2.53442,0.02087,0.39755,0.33709,0.30973,0.18062,1.54265,2.24262,0.03024,0.000901,0.000901,0.000901
12,1796.39,1.49076,2.48961,0.02033,0.4448,0.35274,0.33632,0.1928,1.49653,2.21056,0.02911,0.0008911,0.0008911,0.0008911
13,1942.38,1.47339,2.44003,0.01999,0.46452,0.38238,0.36904,0.21392,1.46384,2.10816,0.02824,0.0008812,0.0008812,0.0008812
14,2089.2,1.45799,2.39162,0.01983,0.49488,0.393,0.39437,0.23594,1.44573,2.01391,0.02777,0.0008713,0.0008713,0.0008713
15,2235.51,1.43444,2.33476,0.01949,0.49554,0.4117,0.42194,0.25171,1.43035,1.95346,0.02718,0.0008614,0.0008614,0.0008614
16,2382.4,1.43087,2.30583,0.01947,0.52643,0.42658,0.43935,0.26493,1.41949,1.88624,0.02702,0.0008515,0.0008515,0.0008515
17,2529.31,1.42515,2.26982,0.0192,0.52706,0.4388,0.45307,0.27312,1.41862,1.87831,0.02704,0.0008416,0.0008416,0.0008416
18,2675.49,1.41099,2.22867,0.01901,0.54693,0.44445,0.47102,0.28715,1.39175,1.81383,0.02626,0.0008317,0.0008317,0.0008317
19,2823.41,1.40605,2.2132,0.01879,0.52018,0.44613,0.46417,0.28603,1.37715,1.81568,0.02595,0.0008218,0.0008218,0.0008218
20,2971.16,1.38745,2.16642,0.01854,0.56305,0.47022,0.49245,0.30586,1.36352,1.74685,0.02552,0.0008119,0.0008119,0.0008119
21,3118.37,1.3867,2.14494,0.01853,0.56217,0.4819,0.51039,0.31873,1.35628,1.70803,0.02528,0.000802,0.000802,0.000802
22,3265.19,1.37493,2.10053,0.01834,0.58748,0.48696,0.52512,0.33023,1.34292,1.66809,0.02499,0.0007921,0.0007921,0.0007921
23,3410.2,1.3704,2.08722,0.01822,0.60576,0.49205,0.53819,0.33955,1.32642,1.65048,0.02447,0.0007822,0.0007822,0.0007822
24,3556.34,1.36089,2.0581,0.01808,0.60803,0.5003,0.54547,0.34595,1.31685,1.62283,0.02423,0.0007723,0.0007723,0.0007723
