epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.352,2.39716,4.76962,0.03956,0.01342,0.14491,0.00546,0.00172,2.3875,5.09522,0.05534,0.000199807,0.000199807,0.0802191
2,370.149,1.95539,4.02492,0.02985,0.01128,0.19142,0.01063,0.00307,2.47864,4.69165,0.05896,0.000395849,0.000395849,0.0604152
3,542.087,1.84446,3.6677,0.02726,0.30721,0.10131,0.06545,0.02666,1.89288,3.82998,0.04025,0.000587931,0.000587931,0.0406073
4,711.469,1.77447,3.38677,0.02609,0.35401,0.13445,0.09716,0.04556,1.8145,3.26519,0.03844,0.000776053,0.000776053,0.0207954
5,880.107,1.70561,3.16891,0.02483,0.2762,0.20855,0.14833,0.06981,1.78534,2.91794,0.03741,0.000960214,0.000960214,0.000979538
6,1048.5,1.65547,3.0141,0.02383,0.35317,0.22989,0.17401,0.09275,1.6195,2.78689,0.03268,0.0009505,0.0009505,0.0009505
7,1216.32,1.6164,2.88843,0.023,0.31708,0.25134,0.19192,0.10069,1.63738,2.70323,0.03376,0.0009406,0.0009406,0.0009406
8,1385.05,1.57726,2.81528,0.02234,0.35254,0.30592,0.25586,0.14242,1.56542,2.43499,0.03121,0.0009307,0.0009307,0.0009307
9,1553.15,1.53852,2.71237,0.02175,0.39541,0.30769,0.26807,0.14805,1.55448,2.43852,0.03093,0.0009208,0.0009208,0.0009208
10,1721.22,1.51755,2.64826,0.02136,0.42199,0.33431,0.30479,0.17579,1.48844,2.30098,0.0291,0.0009109,0.0009109,0.0009109
11,1890.54,1.50585,2.58305,0.02105,0.46004,0.33378,0.32394,0.18846,1.5016,2.20404,0.02931,0.000901,0.000901,0.000901
12,2058.84,1.48278,2.5134,0.0207,0.43536,0.36527,0.34914,0.204,1.47738,2.14589,0.02881,0.0008911,0.0008911,0.0008911
13,2226.5,1.4732,2.46736,0.02032,0.46582,0.40073,0.38443,0.22443,1.46132,2.03148,0.02814,0.0008812,0.0008812,0.0008812
14,2394.25,1.46611,2.42887,0.02002,0.48296,0.40385,0.40022,0.23797,1.45499,1.97473,0.02813,0.0008713,0.0008713,0.0008713
15,2562.3,1.44661,2.38722,0.01985,0.49194,0.40517,0.40952,0.24908,1.4237,1.94021,0.02721,0.0008614,0.0008614,0.0008614
16,2730.12,1.43411,2.35242,0.01955,0.5158,0.42086,0.43486,0.26372,1.40216,1.88605,0.02671,0.0008515,0.0008515,0.0008515
17,2898.77,1.43019,2.31004,0.01964,0.53537,0.43368,0.45442,0.27691,1.38632,1.85435,0.02641,0.0008416,0.0008416,0.0008416
18,3067.18,1.41661,2.28336,0.01932,0.52492,0.44573,0.46659,0.29023,1.36116,1.81041,0.02576,0.0008317,0.0008317,0.0008317
19,3235.59,1.40613,2.24758,0.01904,0.53043,0.46273,0.47769,0.29725,1.36563,1.77647,0.02568,0.0008218,0.0008218,0.0008218
20,3403.92,1.39466,2.21603,0.01893,0.55541,0.46144,0.48928,0.30681,1.34982,1.75106,0.02541,0.0008119,0.0008119,0.0008119
21,3571.69,1.38972,2.1979,0.01866,0.57852,0.46489,0.50543,0.3159,1.33787,1.70734,0.02504,0.000802,0.000802,0.000802
22,3740.13,1.3792,2.15807,0.01868,0.56983,0.47933,0.5109,0.32152,1.32943,1.69171,0.02483,0.0007921,0.0007921,0.0007921
23,3908.77,1.36956,2.13452,0.01848,0.58061,0.49296,0.52589,0.33398,1.31547,1.65188,0.0244,0.0007822,0.0007822,0.0007822
24,4077.57,1.36571,2.1231,0.01838,0.5791,0.50504,0.53401,0.33728,1.31438,1.63413,0.02429,0.0007723,0.0007723,0.0007723
25,4246.13,1.35823,2.08776,0.01819,0.59546,0.50987,0.54855,0.34966,1.29907,1.59701,0.02399,0.0007624,0.0007624,0.0007624
26,4414.43,1.35207,2.07126,0.01804,0.59156,0.51188,0.54772,0.35125,1.29086,1.59449,0.02376,0.0007525,0.0007525,0.0007525
27,4582.82,1.34294,2.0562,0.01803,0.59211,0.52221,0.55725,0.3597,1.28173,1.57118,0.02346,0.0007426,0.0007426,0.0007426
28,4750.96,1.3337,2.04243,0.01776,0.61982,0.51732,0.56949,0.36808,1.26938,1.55346,0.02321,0.0007327,0.0007327,0.0007327
29,4919.51,1.32384,2.02674,0.01768,0.62864,0.52436,0.573,0.37143,1.26562,1.53539,0.02318,0.0007228,0.0007228,0.0007228
30,5087.71,1.32065,2.00644,0.01762,0.61069,0.52802,0.57399,0.37359,1.26045,1.52731,0.02302,0.0007129,0.0007129,0.0007129
31,5256.26,1.31334,1.98577,0.0175,0.62428,0.54295,0.58805,0.38513,1.25677,1.50544,0.02288,0.000703,0.000703,0.000703
32,5457.48,1.3154,1.96635,0.01738,0.6297,0.54042,0.59196,0.38639,1.2582,1.49021,0.02293,0.0006931,0.0006931,0.0006931
33,5680.84,1.30934,1.95909,0.01739,0.62992,0.54956,0.59671,0.39403,1.24562,1.46945,0.02265,0.0006832,0.0006832,0.0006832
34,5904.44,1.29734,1.93836,0.01725,0.62898,0.55685,0.60242,0.39785,1.24082,1.46363,0.02258,0.0006733,0.0006733,0.0006733
35,6127.91,1.29438,1.92199,0.01711,0.64663,0.5481,0.60493,0.39959,1.23912,1.44821,0.02252,0.0006634,0.0006634,0.0006634
36,6351.47,1.29191,1.91965,0.017,0.65233,0.55865,0.61296,0.40643,1.22698,1.44189,0.02224,0.0006535,0.0006535,0.0006535
37,6574.19,1.28487,1.90271,0.01702,0.63462,0.56885,0.6147,0.40799,1.22367,1.43303,0.0222,0.0006436,0.0006436,0.0006436
38,6796.59,1.27966,1.88895,0.01678,0.65193,0.56318,0.6183,0.41176,1.22116,1.42707,0.02212,0.0006337,0.0006337,0.0006337
39,7020.42,1.27339,1.86935,0.01679,0.65708,0.56561,0.62342,0.41752,1.21725,1.41484,0.022,0.0006238,0.0006238,0.0006238
40,7244.23,1.2704,1.86598,0.01658,0.66151,0.57337,0.62697,0.42001,1.21511,1.39721,0.02192,0.0006139,0.0006139,0.0006139
41,7467.28,1.26132,1.86144,0.01672,0.67176,0.57362,0.63129,0.425,1.20965,1.3891,0.02177,0.000604,0.000604,0.000604
42,7690.47,1.26072,1.83968,0.01659,0.67578,0.57237,0.63355,0.4272,1.20757,1.3788,0.02169,0.0005941,0.0005941,0.0005941
43,7913.23,1.25868,1.81563,0.01665,0.6679,0.57681,0.63579,0.42951,1.20607,1.36538,0.02166,0.0005842,0.0005842,0.0005842
44,8136.74,1.25029,1.81552,0.01629,0.6665,0.58247,0.64001,0.4324,1.20187,1.36033,0.02152,0.0005743,0.0005743,0.0005743
45,8360.49,1.24629,1.80945,0.01633,0.67101,0.58446,0.64175,0.43368,1.19863,1.35843,0.02146,0.0005644,0.0005644,0.0005644
46,8583.09,1.24217,1.79765,0.01623,0.6841,0.57853,0.64506,0.43651,1.19455,1.35435,0.02137,0.0005545,0.0005545,0.0005545
