epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.714,2.4772,4.85521,0.04119,0.00442,0.22613,0.00316,0.00093,2.39841,5.88182,0.05334,0.000199614,0.000199614,0.0802382
2,330.446,1.95945,4.0455,0.02974,0.01212,0.31612,0.01352,0.0046,2.14658,4.5627,0.04783,0.000395658,0.000395658,0.0604343
3,479.339,1.82213,3.6342,0.02677,0.3113,0.12796,0.08257,0.03679,1.83374,3.49103,0.03894,0.000587742,0.000587742,0.0406264
4,626.668,1.74781,3.37022,0.02547,0.28562,0.13286,0.0907,0.04164,1.85219,3.30806,0.03927,0.000775865,0.000775865,0.0208145
5,779.151,1.69467,3.18299,0.02429,0.2691,0.1883,0.13155,0.06468,1.73896,3.06197,0.03565,0.000960029,0.000960029,0.000998639
6,929.414,1.65391,3.00935,0.02351,0.28609,0.19605,0.1194,0.05681,1.82004,3.25755,0.03729,0.0009505,0.0009505,0.0009505
7,1081.11,1.60968,2.88115,0.02283,0.35301,0.27346,0.21758,0.11892,1.63451,2.68797,0.03297,0.0009406,0.0009406,0.0009406
8,1230.14,1.58276,2.76457,0.0221,0.31835,0.27724,0.23164,0.12671,1.63279,2.59161,0.03289,0.0009307,0.0009307,0.0009307
9,1380.61,1.54736,2.67696,0.02164,0.38128,0.31056,0.26803,0.15213,1.57067,2.52889,0.031,0.0009208,0.0009208,0.0009208
10,1529.87,1.52168,2.60456,0.02105,0.37749,0.3298,0.30654,0.17559,1.53153,2.26972,0.02987,0.0009109,0.0009109,0.0009109
11,1679.8,1.50179,2.52399,0.02078,0.40214,0.34809,0.30979,0.17981,1.52147,2.2641,0.02962,0.000901,0.000901,0.000901
12,1829.52,1.48007,2.47911,0.0202,0.45152,0.36886,0.36997,0.21338,1.48767,2.15832,0.02863,0.0008911,0.0008911,0.0008911
13,1979.9,1.4626,2.43416,0.01981,0.45802,0.37877,0.37642,0.21832,1.47658,2.1688,0.02825,0.0008812,0.0008812,0.0008812
14,2128.66,1.451,2.3764,0.01974,0.4737,0.39601,0.39382,0.23641,1.42327,2.05006,0.02691,0.0008713,0.0008713,0.0008713
15,2278.3,1.42775,2.33622,0.01939,0.51338,0.40992,0.4288,0.25905,1.42928,1.96346,0.02699,0.0008614,0.0008614,0.0008614
